店名,营业时间 / 地址,电话
长申国际,超市营业时间: 08:30-22:00百货营业时间: 09:30-22:00地址：涧西区辽宁路与丽新路,百货: 0379-64585001电话: 0379-64585006
盛德美涧西店,超市营业时间: 08:00-21:30服装营业时间: 08:00-21:30地址：涧西区景华路天津路口,电话: 0379-64938568
景华店,超市营业时间: 08:30-21:30服装营业时间: 09:00-21:30地址：涧西区景华路与周山大道交叉口,电话: 0379-69970388
谷水店,营业时间: 08:30-21:30地址：涧西区谷水西外语学院东 150 米,电话: 0379-64227145
嵩北店,营业时间: 08:30-21:30地址：涧西区嵩山路芳华路交叉口,电话: 0379-64813062
建华店,营业时间: 08:30-21:30地址：涧西区建设路与华山路交叉口中侨绿城,电话: 0379-64918182
康华店,营业时间: 08:00-21:30地址：涧西区康滇路与景华路交叉口 3 号社区,电话: 0379-64299275
长安店,营业时间: 08:30-21:00地址：涧西区长安路中段,电话: 0379-64218557
联盟店,营业时间: 08:30-21:00地址：涧西区联盟路与郑州路交叉口东 300 米,电话: 0379-64228857
南华路店,超市营业时间: 08:30-21:00服装营业时间: 09:00-21:00地址：涧西区南华路,电话: 0379-64559471
创新店,超市营业时间: 08:00-21:30服装营业时间: 09:00-21:30地址：涧西区创业路 2 号,电话: 0379-69960809
一五二店,营业时间: 08:30-21:30地址：涧西区河洛路与丰润路交叉口往北 50 米,电话: 0379-69800992
周川店,营业时间: 08:30-21:30地址：涧西区周山路 6 号 (洛阳大酒店对面),电话: 0379-64322598
丽新店,营业时间: 08:30-21:30地址：涧西区丽新路与寨南二路东北口,电话: 0379-64932995
兴隆店,营业时间: 08:30-21:30地址：涧西区九都路与珠江路路口向南 100 米,电话: 0379-64619713
苗湾店,营业时间: 08:30-21:30地址：涧西区周山大道与华夏路口苗湾安居 1 号,电话: 0379-63273579
折扣店,营业时间: 08:00-21:00地址：洛阳市谷水大张物流园西门,电话: 0379-62262668
绿洲店,营业时间: 08:30-21:30地址：洛阳市涧西区龙鳞路与木棉路交叉口绿洲花园一楼,电话: 0379-64955779
